id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
13421,Saltpetre,"Farming,Mining + Smithing",Farming,yes,medium,Spade-dug deposit used to make fertiliser (Farming); not pickaxe-mined. Dropped Mining + Smithing.,Yes,
13441,Anglerfish,"Melee,Slayer","Cooking,Melee,Range,Mage,Slayer",yes,medium,"Cooked food healing up to 22 (overheal); high-heal combat food rule. Fixed Melee,Slayer.",Yes,
13487,Ensouled horror head,"Prayer,Slayer","Mage,Prayer",yes,medium,"Reanimation (Magic) -> Prayer XP; harmonized with ensouled-head family. Dropped Slayer, added Mage.",No,"Ensouled heads are prayer training only, despite giving mage XP they are a prayer input. This same logic would put any item than can be alchamized in the magic tab and we can't have that!"
13513,Book of arcane knowledge,"Mage,Runecraft",Misc,yes,medium,Arceuus Library reward XP book (choice of Magic or Runecraft); generic XP-grant like a lamp -> Misc.,Yes,
13534,Transvergence theory,Runecraft,Misc,yes,medium,Arceuus Library fetch-and-return book; Runecraft tag spurious (no Runecraft I/O).,Yes,
13538,Shayzien supply gloves (1),Mining + Smithing,Mining + Smithing,no,high,JUDGMENT: unequippable armour smithed from lovakite bars = Smithing output -> Mining + Smithing.,Yes,
13573,Dynamite,"Mining + Smithing,Woodcutting + Firemaking",Mining + Smithing,yes,medium,Blast Mining explosive; Firemaking XP from lighting is incidental to the mining use. Dropped Woodcutting + Firemaking.,Yes,
13579,Graceful hood (Arceuus),Agility + Thieving,"Agility + Thieving,Cosmetics",yes,medium,Graceful region recolour: keeps Agility weight-reduction + is a cosmetic re-skin. (Applies to ALL ~40 region/Kourend/Agility-Arena graceful recolours.),Yes,
13639,Seed box,"Farming,Misc",Farming,yes,medium,Dedicated Tithe Farm seed-storage tool -> Farming. Dropped Misc.,Yes,
13649,Clue bottle (medium),"Fishing,Misc",Misc,yes,medium,Clue-scroll container; Fishing is only the drop source -> Misc. (Same for clue nests/geodes - drop WC/Mining.),Yes,
13658,Teleport card,Misc,Teleports,yes,medium,Charges the Chronicle teleport book -> Teleports (teleport-charge item).,Yes,
13660,Chronicle,Misc,Teleports,yes,medium,Equipable teleport book (Champions' Guild teleport) -> Teleports.,Yes,
19473,Bag full of gems,"Crafting,Mining + Smithing",Crafting,yes,medium,"Bundle of 40 uncut gems (Crafting material); mining-shop purchase is acquisition, not a Mining I/O. Dropped Mining + Smithing.",Yes,
19476,Achievement diary cape,"Misc,Quests","Cosmetics,Teleports",yes,medium,Diary-completion prestige cape (Cosmetics) + all-diary-master/bank teleports (Teleports). Dropped Misc/Quests.,Yes,
19478,Light ballista,"Fletching,Range",Range,yes,medium,"Ranged 2h crossbow (65 Range); airship-wreckage drop, not player-fletched. Dropped Fletching.",Yes,
19532,Zenyte bracelet,"Crafting,Mage",Crafting,yes,medium,Unenchanted jewellery -> Crafting; no magic stats until enchanted (becomes tormented bracelet). Dropped Mage.,Yes,
19550,Ring of suffering,"Melee,Prayer","Melee,Range,Mage",yes,medium,"All-around defensive ring (defence in all styles, like salve(i)) -> Melee + Range + Mage; +2 prayer incidental. Dropped Prayer.",Yes,
19572,Iron javelin tips,"Fletching,Mining + Smithing","Fletching,Mining + Smithing,Range",yes,medium,Harmonized javelin-tip family: smithed + fletched ammo precursor keeps Range (per bolt-tip precedent). Added Range.,Yes,
19604,Unstrung light ballista,"Fletching,Range",Fletching,yes,medium,Ballista BUILD intermediate (like unstrung crossbow) -> Fletching; dropped stray Range. (Same for frames/limbs/springs/monkey tail.),Yes,
19613,Arceuus library teleport,Misc,Teleports,yes,high,Breakable teleport tablet -> Teleports. (Same for the ~11 house/spellbook teleport tablets in this batch.),Yes,
19634,Soul bearer,"Misc,Prayer",Prayer,yes,medium,Ensouled-head banking tool for Prayer training (like bonecrusher) -> Prayer. Dropped Misc.,Yes,
19641,Black slayer helmet (i),"Cosmetics,Melee,Slayer","Cosmetics,Melee,Range,Mage,Slayer",yes,medium,Imbued recoloured slayer helm: (i) extends on-task bonus to all styles -> added Range + Mage. (Also green/red (i).),Yes,
19675,Arclight,"Melee,Slayer",Melee,yes,medium,"Demonbane melee sword; anti-demon bonus is a monster-type effect, not slayer-task-locked (like salve amulet). Dropped Slayer.",Yes,
19677,Ancient shard,"Melee,Misc,Slayer","Melee,Teleports",yes,medium,Charges/creates Arclight (Melee weapon) + catacomb altar teleports. Dropped Misc/Slayer.,Yes,
19701,Jar of darkness,Cosmetics,Misc,yes,medium,"Boss-collectible jar (Skotizo) -> Misc (jar family, matches jar of dirt/souls/etc).",Yes,
19707,Amulet of eternal glory,"Melee,Misc","Melee,Range,Mage,Teleports",yes,medium,Amulet-of-glory stats (all combat styles) + unlimited teleports -> Melee + Range + Mage + Teleports. Dropped Misc.,Yes,
