id,name,old_tabs,new_tabs,changed,rationale,confidence
7360,"Rune shield (h5)","Cosmetics,Melee","Cosmetics,Melee",no,"A heraldic rune kiteshield (clue reward).",high
7362,"Studded body (g)","Cosmetics,Range","Cosmetics,Range",no,"Gold-trimmed studded ranged body (clue reward).",high
7364,"Studded body (t)","Cosmetics,Range","Cosmetics,Range",no,"Trimmed studded ranged body (clue reward).",high
7366,"Studded chaps (g)","Cosmetics,Range","Cosmetics,Range",no,"Gold-trimmed studded ranged legs (clue reward).",high
7368,"Studded chaps (t)","Cosmetics,Range","Cosmetics,Range",no,"Trimmed studded ranged legs (clue reward).",high
7370,"Green d'hide body (g)","Cosmetics,Range","Cosmetics,Range",no,"Gold-trimmed green dragonhide body (clue reward).",high
7372,"Green d'hide body (t)","Cosmetics,Range","Cosmetics,Range",no,"Trimmed green dragonhide body (clue reward).",high
7374,"Blue d'hide body (g)","Cosmetics,Range","Cosmetics,Range",no,"Gold-trimmed blue dragonhide body (clue reward).",high
7376,"Blue d'hide body (t)","Cosmetics,Range","Cosmetics,Range",no,"Trimmed blue dragonhide body (clue reward).",high
7378,"Green d'hide chaps (g)","Cosmetics,Range","Cosmetics,Range",no,"Gold-trimmed green dragonhide legs (clue reward).",high
7380,"Green d'hide chaps (t)","Cosmetics,Range","Cosmetics,Range",no,"Trimmed green dragonhide legs (clue reward).",high
7382,"Blue d'hide chaps (g)","Cosmetics,Range","Cosmetics,Range",no,"Gold-trimmed blue dragonhide legs (clue reward).",high
7384,"Blue d'hide chaps (t)","Cosmetics,Range","Cosmetics,Range",no,"Trimmed blue dragonhide legs (clue reward).",high
7386,"Blue skirt (g)","Cosmetics,Mage","Cosmetics,Mage",no,"Gold-trimmed wizard-set skirt (clue reward).",medium
7388,"Blue skirt (t)","Cosmetics,Mage","Cosmetics,Mage",no,"Trimmed wizard-set skirt (clue reward).",medium
7390,"Blue wizard robe (g)","Cosmetics,Mage","Cosmetics,Mage",no,"Gold-trimmed wizard robe (+magic, clue reward).",high
7392,"Blue wizard robe (t)","Cosmetics,Mage","Cosmetics,Mage",no,"Trimmed wizard robe (+magic, clue reward).",high
7394,"Blue wizard hat (g)","Cosmetics,Mage","Cosmetics,Mage",no,"Gold-trimmed wizard hat (+magic, clue reward).",high
7396,"Blue wizard hat (t)","Cosmetics,Mage","Cosmetics,Mage",no,"Trimmed wizard hat (+magic, clue reward).",high
7398,"Enchanted robe","Cosmetics,Mage","Cosmetics,Mage",no,"Enchanted magic leg armour (40 Magic, hard-clue reward).",high
7399,"Enchanted top","Cosmetics,Mage","Cosmetics,Mage",no,"Enchanted magic body armour (40 Magic, hard-clue reward).",high
7400,"Enchanted hat","Cosmetics,Mage","Cosmetics,Mage",no,"Enchanted magic head armour (40 Magic, hard-clue reward).",high
7404,"Red logs","Woodcutting + Firemaking","Woodcutting + Firemaking",no,"Firelighter-treated logs burned for Firemaking XP (red fire).",high
7405,"Green logs","Woodcutting + Firemaking","Woodcutting + Firemaking",no,"Firelighter-treated logs burned for Firemaking XP (green fire).",high
7406,"Blue logs","Woodcutting + Firemaking","Woodcutting + Firemaking",no,"Firelighter-treated logs burned for Firemaking XP (blue fire).",high
7408,"Draynor skull","Quests","Quests",no,"A Fairytale I - Growing Pains quest item.",high
7409,"Magic secateurs","Farming,Quests,Slayer","Farming",yes,"The herb-yield-boosting Farming tool (quest origin); ongoing Farming use. Dropped Quests/Slayer per skilling-tool/by-function rules.",medium
7410,"Queen's secateurs","Quests","Quests",no,"A Fairytale I/II quest item (distinct from magic secateurs).",high
7411,"Symptoms list","Quests","Quests",no,"A Fairytale I quest item.",high
7413,"Bird nest","Farming,Fletching","Farming",yes,"A discontinued Wyson seed nest (yields Farming seeds). Dropped bogus Fletching per nest-family rule.",medium
7414,"Paddle","Cosmetics","Cosmetics",no,"A canoe-rowing animation item.",low
7416,"Mole claw","Farming,Misc","Farming,Misc",no,"A Giant Mole drop traded to Wyson for Farming seed nests (trade good).",medium
7418,"Mole skin","Farming,Misc","Farming,Misc",no,"A Giant Mole drop traded to Wyson for Farming seed nests (trade good).",medium
7421,"Fungicide spray 10","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7423,"Fungicide spray 8","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7424,"Fungicide spray 7","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7425,"Fungicide spray 6","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7426,"Fungicide spray 5","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7428,"Fungicide spray 3","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7429,"Fungicide spray 2","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7430,"Fungicide spray 1","Slayer","Slayer",no,"Slayer equipment to finish Mutated Zygomites.",high
7432,"Fungicide","Slayer","Slayer",no,"A Slayer refill for the fungicide spray.",high
7433,"Wooden spoon","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (bronze-longsword stats, usable). Dropped Quests per by-function rule.",high
7435,"Egg whisk","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (iron-dagger stats). Dropped Quests.",high
7437,"Spork","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (steel-sword stats). Dropped Quests.",high
7439,"Spatula","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (black-2h stats). Dropped Quests.",high
7441,"Frying pan","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (mithril-warhammer stats). Dropped Quests.",high
7443,"Skewer","Melee,Quests","Melee",yes,"RFD kitchen melee weapon. Dropped Quests.",high
7445,"Rolling pin","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (rune-mace stats; prayer incidental). Dropped Quests.",high
7447,"Kitchen knife","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (rune-dagger stats, usable). Dropped Quests.",high
7449,"Meat tenderiser","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (usable). Dropped Quests.",high
7451,"Cleaver","Melee,Quests","Melee",yes,"RFD kitchen melee weapon (usable). Dropped Quests.",high
7453,"Hardleather gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style attack/defence). Dropped Quests; non-style-specific. Glove progression flagged.",medium
7454,"Bronze gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7455,"Iron gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7456,"Steel gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7457,"Black gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7458,"Mithril gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7459,"Adamant gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7460,"Rune gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7461,"Dragon gloves","Melee,Quests","Melee,Range,Mage",yes,"Culinaromancer's gloves (all-style bonuses). Dropped Quests.",medium
7462,"Barrows gloves","Melee,Quests","Melee,Range,Mage",yes,"The universal BiS-tier all-style hand slot. Dropped Quests.",high
7463,"Cornflour","Cooking,Quests","Quests",yes,"Unobtainable RFD-only cooking item. Dropped Cooking (quest-only).",medium
7464,"Book on chickens","Misc","Misc",no,"A readable Wise Old Man house book.",medium
7465,"Vanilla pod","Quests","Quests",no,"An RFD brulee quest ingredient.",high
7468,"Pot of cornflour","Cooking,Quests","Quests",yes,"An RFD-only cooking item (only use is RFD). Dropped Cooking.",medium
7470,"Cornflour mixture","Quests","Quests",no,"An RFD brulee quest item.",high
7471,"Milky mixture","Quests","Quests",no,"An RFD brulee quest item.",high
7472,"Cinnamon","Quests","Quests",no,"An RFD brulee quest item.",high
7473,"Brulee","Quests","Quests",no,"An RFD brulee quest item.",high
7474,"Brulee","Quests","Quests",no,"An RFD brulee quest item.",high
7475,"Brulee","Quests","Quests",no,"An RFD brulee quest item.",high
7476,"Brulee supreme","Quests","Quests",no,"An RFD brulee-supreme quest dish.",high
7477,"Evil chicken's egg","Quests","Quests",no,"An RFD brulee quest item.",high
7478,"Dragon token","Quests","Quests",no,"An RFD K'klik-summon quest item.",high
7479,"Spicy stew","Cooking,Quests","Cooking",yes,"A cooked skill-boosting stew (farmable post-quest). Dropped Quests. Skill-boost-tab question flagged.",medium
7480,"Red spice (4)","Cooking,Quests","Cooking",yes,"A spicy-stew spice (general boosting use). Dropped Quests.",medium
7481,"Red spice (3)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7482,"Red spice (2)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7483,"Red spice (1)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7484,"Orange spice (4)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7485,"Orange spice (3)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7486,"Orange spice (2)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7487,"Orange spice (1)","Cooking,Herblore,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests and stray Herblore.",medium
7488,"Brown spice (4)","Cooking,Quests","Cooking",yes,"A spicy-stew spice (boosts gathering skills). Dropped Quests.",medium
7489,"Brown spice (3)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7490,"Brown spice (2)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7491,"Brown spice (1)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7492,"Yellow spice (4)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7493,"Yellow spice (3)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7494,"Yellow spice (2)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7495,"Yellow spice (1)","Cooking,Quests","Cooking",yes,"A spicy-stew spice. Dropped Quests.",medium
7496,"Empty spice shaker","Quests","Misc",yes,"A spent, useless spice shaker. Dropped Quests -> Misc.",medium
7497,"Dirty blast","Quests","Quests",no,"An RFD-only fruit-blast-plus-ashes drink.",high
7498,"Antique lamp","Quests","Quests",no,"An RFD XP-reward lamp.",high
7508,"Asgoldian ale","Quests","Quests",no,"An RFD Mountain Dwarf quest item.",high
7509,"Dwarven rock cake","Melee,Quests","Melee",yes,"A self-damage item (iconic Dharok's low-HP melee technique; farmable post-quest). Dropped Quests.",medium
7511,"Slop of compromise","Quests","Quests",no,"An RFD goblin-generals quest item.",high
7512,"Soggy bread","Quests","Quests",no,"An RFD goblin-generals quest item.",high
7513,"Spicy maggots","Quests","Quests",no,"An RFD goblin-generals quest item.",medium
7514,"Dyed orange","Quests","Quests",no,"An RFD goblin-generals quest item.",high
7515,"Breadcrumbs","Quests","Quests",no,"An RFD Pirate Pete fishcake quest item.",high
7516,"Kelp","Quests","Quests",no,"An RFD Pirate Pete quest item.",high
7517,"Ground kelp","Quests","Quests",no,"An RFD Pirate Pete fishcake ingredient.",high
7518,"Giant crab meat","Cooking,Quests","Cooking,Quests",no,"An RFD fishcake meat that is cooked (Cooking XP) and edible.",medium
7519,"Crab meat","Quests","Quests",no,"An unobtainable F2P RFD crab meat copy.",medium
7520,"Burnt giant crab meat","Cooking,Quests","Cooking,Quests",no,"A burnt RFD crab-meat Cooking byproduct.",medium
7521,"Cooked giant crab meat","Cooking,Quests","Cooking,Quests",no,"An edible RFD cooked crab meat (heals).",medium
7527,"Ground giant crab meat","Quests","Quests",no,"An RFD fishcake ingredient paste.",high
7528,"Ground cod","Quests","Quests",no,"An RFD fishcake ingredient paste.",high
