id,name,old_tabs,new_tabs,changed,rationale,confidence
0,"Dwarf remains","Quests","Quests",no,"Pure quest item used only in Dwarf Cannon, with no skill or combat function, so Quests only.",high
1,"Toolkit","Quests","Quests",no,"Quest item used only in Dwarf Cannon to repair the cannon during the quest. No ongoing use, so Quests only.",high
2,"Steel cannonball","Mining + Smithing,Range,Slayer","Range,Slayer",yes,"Terminal ammo output fired from the dwarf multicannon. Under inputs-only it leaves Mining + Smithing and sits in Range and Slayer.",high
3,"Nulodion's notes","Quests","Quests",no,"Quest item used only in Dwarf Cannon. Examine mentions cannon ammo construction but it is not a Construction item, so Quests only.",high
4,"Ammo mould","Mining + Smithing,Quests","Mining + Smithing",yes,"A reusable Smithing tool used to cast cannonballs, an input to Mining + Smithing. Dropped Quests because it is a permanent skilling tool.",high
5,"Instruction manual","Misc","Misc",no,"The dwarf multicannon reference book with no skill or combat function and not a deployable part, so Misc.",medium
6,"Cannon base","Quests,Range,Slayer","Range,Slayer",yes,"Deployable dwarf multicannon part used in ranged combat and slayer, so Range and Slayer. Dropped Quests as it is a functional combat tool.",high
8,"Cannon stand","Misc,Quests,Slayer","Range,Slayer",yes,"Deployable dwarf multicannon part, so Range and Slayer. Dropped Misc and Quests as noise.",high
10,"Cannon barrels","Misc,Quests,Range,Slayer","Range,Slayer",yes,"Deployable dwarf multicannon part that fires the cannonballs, so Range and Slayer. Dropped Misc and Quests as noise.",high
12,"Cannon furnace","Misc,Quests,Slayer","Range,Slayer",yes,"Final deployable dwarf multicannon part, so Range and Slayer. Dropped Misc and Quests as noise.",high
14,"Railing","Quests","Quests",no,"Quest item used only in Dwarf Cannon to repair a fence. No ongoing use, so Quests only.",high
15,"Holy table napkin","Quests","Quests",no,"Quest item used only in Holy Grail. No ongoing use, so Quests only.",high
16,"Magic whistle","Quests","Quests",no,"Quest item used only in Holy Grail. No ongoing use, so Quests only.",high
