id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
27281,"Divine rune pouch","Mage,Runecraft,Slayer","Mage",yes,medium,"Holds runes for spellcasting -> Mage; drop Runecraft/Slayer.",,
27285,"Eye of the corruptor","Melee,Quests","Melee",yes,medium,"ToA jewel for a melee partisan -> Melee; drop Quests (not a quest item). [rep: ToA jewels]",,
27372,"Masori crafting kit","Cosmetics,Range","Cosmetics",yes,medium,"Cosmetic recolour kit for Ava's assembler -> Cosmetics; drop Range (kit is not the gear). [rep: ornament kits]",,
27404,"Adventurer's top (t3)","Agility + Thieving,Cosmetics","Cosmetics",yes,medium,"Quest Speedrunning cosmetic outfit -> Cosmetics; drop Agility + Thieving.",,
27550,"Ghommal's avernic defender 5","Cosmetics,Melee","Melee,Teleports",yes,medium,"Avernic defender (melee offhand) + Ghommal's hilt 5 (teleport) -> Melee, Teleports; drop Cosmetics.",,
27655,"Webweaver bow","Range,Slayer","Range",yes,medium,"Wilderness-boss Ranged weapon -> Range; drop Slayer (Wilderness bosses are not slayer tasks). [rep: wildy bosses]",,
27667,"Claws of callisto","Melee,Slayer","Melee",yes,medium,"Callisto drop, upgrades Viggora's chainmace (Melee) -> Melee; drop Slayer (Wilderness boss).",,
27693,"Ore pack","Mining + Smithing,Misc","Mining + Smithing",yes,medium,"Volcanic Mine reward pack of ores -> Mining + Smithing; drop Misc.",,
27797,"Special cake","Misc","Cosmetics",yes,medium,"2023 Birthday event item -> Cosmetics; drop Misc (event-item family).",,
27871,"Giant bronze dagger","Cosmetics,Melee","Cosmetics",yes,medium,"Easter event fun-weapon reward -> Cosmetics; drop Melee (novelty).",,
28134,"Anima-infused bark","Fletching","Woodcutting + Firemaking",yes,medium,"Forestry (Woodcutting) currency -> Woodcutting + Firemaking; corrected from Fletching. [rep: Forestry Fletching mis-tag]",,
28154,"Ritual mulch","Farming,Fletching","Farming,Woodcutting + Firemaking",yes,medium,"Combined with herbs (Farming) to make nature offerings (Woodcutting) -> Farming, Woodcutting + Firemaking; corrected Fletching.",,
28169,"Forestry top","Woodcutting + Firemaking","Cosmetics,Woodcutting + Firemaking",yes,medium,"Cosmetic lumberjack (Woodcutting XP outfit) variant -> Woodcutting + Firemaking, Cosmetics; add Cosmetics.",,
28205,"Black felling axe","Melee,Woodcutting + Firemaking","Woodcutting + Firemaking",yes,medium,"Woodcutting felling axe -> Woodcutting + Firemaking; drop Melee (skilling-tool rule). [rep: felling axes]",,
28279,"Bellator vestige","Crafting,Melee,Slayer","Crafting,Melee",yes,medium,"DT2 drop, crafted into the Bellator (melee) ring -> Crafting, Melee; drop Slayer. [rep: DT2 drops]",,
28310,"Venator ring","Range,Slayer","Range",yes,medium,"Ancient ring, top ranged attack -> Range; drop Slayer (DT2 not slayer).",,
28321,"Eye of the duke","Melee,Slayer","Melee",yes,medium,"Soulreaper axe (melee) component -> Melee; drop Slayer. [rep: soulreaper parts]",,
28329,"Ring of shadows (uncharged)","Melee,Misc,Quests","Mage,Melee,Range,Teleports",yes,medium,"DT2 all-style offensive ring + teleport hub -> Mage, Melee, Range, Teleports; drop Misc/Quests.",,
28330,"Strangled tablet","Misc","Teleports",yes,medium,"Unlocks a ring-of-shadows teleport -> Teleports; drop Misc. [rep: RoS teleport tablets]",,
28336,"Ancient blood ornament kit","Cosmetics,Melee","Cosmetics",yes,medium,"Cosmetic recolour kit for Torva armour -> Cosmetics; drop Melee.",,
28484,"Sigil of the alchemaniac","Mage,Misc","Mage",yes,medium,"Deadman Mode auto-alchemy (Magic) sigil -> Mage; drop Misc. [rep: Deadman sigils]",,
28502,"Sigil of the infernal chef","Cooking,Fishing,Misc","Cooking,Fishing",yes,medium,"Deadman Mode sigil: instant-cooks caught fish -> Cooking, Fishing; drop Misc.",,
28529,"Sigil of woodcraft","Construction,Fletching,Misc","Construction,Woodcutting + Firemaking",yes,medium,"Deadman sigil: chopping trees yields planks -> Woodcutting + Firemaking, Construction; drop mis-tagged Fletching/Misc.",,
28618,"Pheasant boots","Cosmetics","Cosmetics,Woodcutting + Firemaking",yes,medium,"Forestry-event (Woodcutting) cosmetic costume -> Woodcutting + Firemaking, Cosmetics; add WC+FM for set consistency.",,
28684,"Trailblazer reloaded bulwark ornament kit","Cosmetics,Melee","Cosmetics",yes,medium,"Cosmetic recolour kit for Dinh's bulwark -> Cosmetics; drop Melee (kit is not the gear).",,
28708,"Trailblazer reloaded rejuvenation pool scroll","Construction,Cosmetics","Cosmetics",yes,medium,"Cosmetic recolour for the POH ornate rejuvenation pool -> Cosmetics; drop Construction (scroll is a skin, not the build) per ornament-kit rule.",,
28765,"Globetrotter pendant","Misc","Teleports",yes,medium,"Leagues multi-destination teleport pendant -> Teleports.",,
28790,"Kourend castle teleport","Misc","Teleports",yes,high,"Magic teleport tablet to Kourend Castle -> Teleports. [rep: city teleport tablets]",,
28798,"Scurrius' spine","Misc","Crafting,Fletching,Mining + Smithing",yes,medium,"JUDGMENT CALL: boss-drop ingredient combined via Smithing (mace), Fletching (bow), Crafting (staff) -> all three production skills (cf. broken-zombie-axe input precedent). Finished spine weapons (bone mace/bow/staff) kept combat-only. Confirm direction.",,
28896,"Rum","Melee","Misc",yes,medium,"Tavern drink / salvage junk with no combat use -> Misc; dropped Melee mis-tag.",,
28924,"Sunfire splinters","Misc,Range","Misc,Range,Runecraft",yes,medium,"Charges Dizana's quiver/Tonalztics (Range) and is consumed to make sunfire runes (Runecraft) -> added Runecraft. Confirm.",,
28962,"Quetzin","Cosmetics","Cosmetics,Hunter",yes,medium,"Hunters' Rumours (Hunter activity) skilling pet -> Cosmetics, Hunter (skilling-pet rule).",,
28964,"Enchanted water talisman","Quests,Runecraft","Quests",yes,medium,"Inert Perilous Moons quest talisman (puzzle item, not used at an altar) -> Quests; dropped Runecraft.",,
29090,"Calcified moth","Misc","Teleports",yes,high,"Single-use teleport to Cam Torum -> Teleports.",,
29110,"Raw pyre fox","Cooking,Fishing,Hunter","Cooking,Hunter",yes,medium,"Hunter meat, cookable -> Cooking, Hunter; dropped erroneous Fishing tag (source mis-tag). Also Raw moonlight antelope.",,
29134,"Cooked dashing kebbit","Cooking,Hunter,Melee","Cooking,Hunter",yes,medium,"Cooked hunter-meat food -> Cooking, Hunter; dropped Melee (food, not a melee item). Applies to several cooked meats.",,
29168,"Sunlight antelope antler","Fletching,Hunter,Range","Fletching,Hunter",yes,medium,"Hunter drop used in Fletching (crossbow/bolts) -> Fletching, Hunter; dropped Range (antler is a material, not ranged gear). Also moonlight antler.",,
29271,"Basic quetzal whistle","Hunter,Misc","Teleports",yes,medium,"JUDGMENT CALL: Quetzal Transport System teleport device -> Teleports; dropped Hunter/Misc (crafted at the Hunter guild but its function is teleport). Confirm whether to retain Hunter.",,
29286,"Mixed hide boots","Crafting,Range","Crafting,Hunter,Range",yes,medium,"Hunter Guild ranged armour -> Crafting, Hunter, Range; added Hunter for set consistency (other pieces had it).",,
29295,"Small meat pouch","Hunter,Misc","Crafting,Hunter,Misc",yes,medium,"Crafted (35 Crafting) storage for hunter meat -> added Crafting. Applies to the meat/fur pouch family.",,
29580,"Tormented synapse","Melee,Misc","Crafting,Fletching,Mining + Smithing",yes,medium,"JUDGMENT CALL: rare TD ingredient forging emberlight (Smithing), scorching bow (Fletching), purging staff (Crafting/Smithing) -> production skills (same pattern as Scurrius' spine). Possible Slayer. Confirm.",,
29628,"Armageddon cape fabric","Cosmetics,Mage","Cosmetics",yes,medium,"Applies a cosmetic Deadman theme to god capes -> Cosmetics; dropped Mage (applicator, not the cape) per ornament-kit rule.",,
29631,"Blighted overload (4)","Herblore,Melee","Herblore,Mage,Melee,Range",yes,medium,"Deadman overload boosting all combat stats -> Herblore, Mage, Melee, Range (all-style potion rule); added Mage/Range.",,
29786,"Jar of venom","Cosmetics","Construction",yes,high,"Araxxor boss-lair display jar (Achievement Gallery / POH) -> Construction (jar-family rule).",,
29830,"Extended anti-venom+(2)","Herblore,Melee","Herblore",yes,medium,"Anti-venom/poison cure potion -> Herblore; dropped Melee mis-tag (other doses were Herblore only).",,
29845,"Blue moon helm","Melee,Misc","Mage,Misc",yes,medium,"LMS magic blue-moon helm -> Mage, Misc; corrected Melee mis-tag (Blue Moon is the Magic set).",,
29893,"Pendant of ates","Misc","Teleports",yes,medium,"Chargeable amulet teleporting to six Varlamore locations -> Teleports.",,
30044,"Graceful crafting kit","Agility + Thieving,Cosmetics","Cosmetics",yes,medium,"Cosmetic recolour applicator for graceful -> Cosmetics; dropped Agility + Thieving (applicator, not the gear) per ornament-kit rule.",,
30149,"Aldarin teleport","Misc","Teleports",yes,high,"Magic tablet teleporting to the Aldarin house portal -> Teleports.",,
30345,"Infernal pickaxe (or)","Cosmetics,Mining + Smithing","Cosmetics,Melee,Mining + Smithing",yes,medium,"Infernal pickaxe (Mining tool / melee weapon) -> added Melee to match the uncharged variant.",,
28792,"Bone mace","Melee","Melee",no,medium,"JUDGMENT CALL (no change): Scurrius'-spine melee weapon smithed at an anvil. Kept combat-only (zombie-axe precedent) while the spine ingredient got the production skills. Confirm finished smithed/fletched weapons stay combat-only.",,
28834,"Tecu salamander","Hunter,Range","Hunter,Range",no,medium,"JUDGMENT CALL (no change): salamander caught via Hunter, used as a tar weapon. Kept Hunter, Range; salamanders are tri-style (Magic/Melee/Range) - confirm whether to add Mage/Melee.",,
