id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
5291,Guam seed,"Farming,Herblore",Farming,yes,medium,HIGH-LEVERAGE SEED RULE: a seed's only direct consumer is Farming; the grimy herb (downstream) carries Herblore. Affects ALL herb/tree seeds.,Yes,
5295,Ranarr seed,"Farming,Herblore",Farming,yes,medium,Herb seed -> Farming only; grimy ranarr (downstream) carries Herblore.,Yes,
5100,Limpwurt seed,"Farming,Herblore",Farming,yes,medium,Seed -> Farming; limpwurt root (downstream) carries Herblore.,Yes,
5314,Maple seed,"Farming,Fletching",Farming,yes,medium,Tree seed -> Farming; maple logs (downstream) carry Fletching/WC+FM.,Yes,
5106,Poison ivy seed,Farming,Farming,no,high,Already Farming-only in source (supports the seed ruling; plugin was internally inconsistent).,Yes,
5974,Coconut,"Farming,Herblore",Farming,yes,medium,DECOMP-EDGE: cracked (no XP) toward coconut milk; coconut milk is the Herblore input. Confirm coconut->Farming only.,Yes,
6041,Pre-nature amulet,"Crafting,Farming",Crafting,yes,medium,DECOMP-EDGE: unenchanted jewellery (Crafting); the amulet of nature carries Farming.,Yes,
5070,Bird nest,Fletching,Prayer,yes,low,"Egg nest -> bird's egg, offered at WC Guild shrine for Prayer XP. Dropped bogus Fletching. Whole nest family flagged.",Yes,
5074,Bird nest,Fletching,Misc,yes,low,Ring nest -> random jewellery loot. Dropped bogus Fletching.,Yes,
5076,Bird's egg,"Fletching,Hunter,Prayer",Prayer,yes,medium,Wiki-confirmed: offered at WC Guild shrine for 100 Prayer XP. Dropped bogus Fletching + Hunter(source).,Yes,
4819,Bronze nails,"Construction,Mining + Smithing","Construction,Fletching",yes,medium,Terminal smithed nail consumed by Construction + brutal-arrow Fletching. Dropped M+S. (Steel nails 1539 re-scan-corrected too.),Yes,
4803,Rune brutal,"Fletching,Range",Range,yes,high,"Finished ogre-bow arrow -> Range only (drop Fletching), per finished-ammo precedent.",Yes,
4827,Comp ogre bow,"Fletching,Range",Range,yes,high,"Finished strung bow -> Range only (drop Fletching), per finished-bow precedent.",Yes,
4753,Verac's helm,"Melee,Prayer","Melee,Prayer",no,medium,PRAYER-GEAR Q: prayer-bonus melee armour kept Melee+Prayer. Confirm prayer-bonus combat gear should carry Prayer.,Yes,
5574,Initiate sallet,"Melee,Prayer,Slayer","Melee,Prayer",yes,medium,Prayer-conservation Temple Knight armour; dropped Slayer (popular on slayer but not slayer-specific).,Yes,
6587,White claws,"Melee,Prayer","Melee,Prayer",no,medium,White Knight set +1 prayer kept Melee+Prayer. The WHOLE white set (~25 items) + fury + initiate hinge on the prayer-gear rule.,Yes,
6585,Amulet of fury,"Melee,Prayer","Melee,Range,Mage,Prayer",yes,medium,"All-style offensive amulet (+10 attack all styles, +8 str, +5 prayer). Added Range/Mage.",Yes,
6573,Onyx,Crafting,"Crafting,Fletching",yes,high,"Cut gem -> jewellery (Crafting) + onyx bolt tips (Fletching), per cut-gem rule.",Yes,
6568,Obsidian cape,Melee,"Melee,Range,Mage",yes,medium,Pure-defence cape (equal def all styles) -> all 3 combat styles. Fire cape kept Melee (has +str).,"Yes, but",Could add to slayer if it fits with other cape rules
6583,Ring of stone,"Cosmetics,Mage",Cosmetics,yes,medium,Enchanted novelty disguise ring (turns into a rock). Dropped Mage.,Yes,
6219,Broodoo shield (8),"Crafting,Melee",Mage,yes,low,"LOW CONF: worn shield (25 Magic req, +3 magic attack). Dropped Crafting (finished-armour) + Melee. Confirm Mage vs Melee vs keep. ~24 broodoo variants.",Yes,
6157,Rock-shell chunk,"Crafting,Melee",Crafting,yes,medium,Raw Fremennik armour material -> Crafting only (the rock-shell helm carries Melee). Applies to all such materials.,Yes,
6043,Oak roots,"Farming,Fletching,Herblore","Farming,Cooking,Crafting",yes,medium,"Axeman's folly (Cooking) + supercompost (Farming) + crossbow string (Crafting, spun). Wiki-confirmed; fixed bogus Fletching/Herblore.",Yes,
6020,Leaves,"Farming,Fletching",Farming,yes,high,Compost use; dropped bogus Fletching (source mis-tags tree-derived items with Fletching throughout).,Yes,
6100,Teleport crystal (3),Misc,Teleports,yes,high,Charged Lletya/Prifddinas teleport crystal. Dropped Misc.,Yes,
6125,Enchanted lyre(2),"Misc,Quests",Teleports,yes,high,Reusable Fremennik-province teleport (matches batch-2 enchanted lyre). Dropped Misc/Quests.,Yes,
6107,Ghostly robe,"Cosmetics,Mage,Quests","Cosmetics,Mage",yes,medium,Magic-bonus fashion set (Curse of the Empty Lord). Dropped Quests (by-function); kept Cosmetics+Mage.,Yes,
6211,Teak pyre logs,"Prayer,Woodcutting + Firemaking",Woodcutting + Firemaking,yes,medium,"Shade cremation grants Firemaking XP, not Prayer. Dropped Prayer.",Yes,
6281,Thatch spar light,"Construction,Fletching",Construction,yes,medium,Tai Bwo Wannai fence-repair pole ('primitive construction'). Dropped Fletching.,Yes,
6319,Proboscis,"Farming,Misc",Woodcutting + Firemaking,yes,low,LOW CONF: sulliuscep-mushroom injection tool (sulliuscep = a Woodcutting resource). Confirm.,Yes,"Not a great git because of how niche it is, but it does fit. I would have reluctantly made that call"
6112,Kelda seed,"Farming,Quests",Quests,yes,medium,Quest-only seed (Forgettable Tale; Kelda chain is quest-only). Quest-only overrides the generic seed->Farming rule.,Yes,
6453,White rose seed,"Farming,Quests",Quests,yes,medium,Garden of Tranquillity quest-only flower seed (no flower-patch use). Dropped Farming.,Yes,
6685,Saradomin brew(4),"Herblore,Melee,Slayer","Herblore,Melee,Slayer",no,medium,Kept as-is. CONFIRM: should this universal heal/defence PvM potion span all combat tabs (Melee+Range+Mage) not just Melee?,No,"Span all combats styles, put it in all 5 tabs, Herblore, Melee, Mage, Range, Slayer"
6746,Darklight,"Melee,Quests,Slayer","Melee,Slayer",yes,medium,Demonbane melee sword (useful on demon slayer tasks). Dropped Quests (by-function).,Yes,
6733,Archers ring,Range,"Range,Slayer",yes,medium,DK chase ring; added Slayer to match the other 3 Fremennik rings. CONFIRM: should DK/boss drops carry Slayer (DKs aren't slayer-locked)?,Yes,
6798,Earth warrior champion scroll,"Misc,Slayer",Misc,yes,medium,Champions' Challenge minigame scroll (no Slayer-skill involvement). Dropped Slayer (all 11 champion scrolls).,Yes,
6971,Sandstone (1kg),Mining + Smithing,Mining + Smithing,no,medium,Kept M+S. CONFIRM: mined-but-not-smelted rock (ground into sand for glass) -> should it follow the clay/sand precedent to Crafting?,Yes,"Don't add it to crafting as it's a precursor of an input, not the input itself. This is a gut call"
7225,Iron spit,"Cooking,Mining + Smithing",Cooking,yes,medium,Smithed terminal Cooking tool (cook meat on spit). Dropped M+S per terminal-product rule.,Yes,
4608,Super kebab,"Cooking,Melee",Cooking,yes,high,Heals 3+7% HP (<12). Dropped Melee per 12+ rule.,Yes,
