id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
24664,Twisted ancestral hat,"Cosmetics,Mage","Cosmetics,Mage",no,high,"Recoloured ancestral retains full Mage stats -> kept Mage,Cosmetics (contrast: the colour KIT below is Cosmetics-only).",,
24670,Twisted ancestral colour kit,"Cosmetics,Mage",Cosmetics,yes,high,RULE: ornament/recolour KITS = Cosmetics only (the kit is not the gear). Dropped Mage.,,
24697,Blisterwood sickle,"Melee,Quests,Slayer","Melee,Quests,Slayer",no,medium,Kept Slayer - intermediate vampyre weapon. Confirm whether intermediates count as Slayer.,,
24699,Blisterwood flail,"Melee,Quests,Slayer","Melee,Quests,Slayer",no,high,Canonical vampyre slayer weapon - kept Slayer.,,
24709,Hallowed crystal shard,Misc,Teleports,yes,medium,RULE: teleport items -> Teleports. Sepulchre lobby teleport.,,
24723,Hallowed focus,"Agility + Thieving,Mage",Agility + Thieving,yes,medium,Sepulchre minigame tool; dropped Mage to match grapple/hammer (minigame-internal).,,
24725,Hallowed symbol,"Agility + Thieving,Prayer",Agility + Thieving,yes,medium,Sepulchre minigame tool; dropped Prayer (minigame-internal).,,
24733,Dark acorn,Cosmetics,"Agility + Thieving,Cosmetics",yes,medium,Sepulchre (Agility) reward recolouring the giant squirrel pet; added Agility + Thieving.,,
24777,Blood shard,"Agility + Thieving,Melee,Slayer","Agility + Thieving,Melee",yes,medium,RULE: rare slayer-monster drops deferred. Dropped Slayer (whip-tier deferral).,,
24855,Mythical max cape,"Cosmetics,Misc","Cosmetics,Quests",yes,medium,"DS2-gated prestige recolour -> Cosmetics,Quests (aligns with mythical max hood).",,
24862,Karamjan monkey,"Agility + Thieving,Cosmetics",Cosmetics,yes,medium,Cosmetic monkey transform; dropped Agility + Thieving (no skilling link). Whole 6-monkey family.,,
24880,Amy's saw,"Construction,Misc",Construction,yes,medium,Saw is a Construction tool; dropped Misc.,,
24946,Hallowed sack,Misc,"Agility + Thieving,Misc",yes,medium,Sepulchre (Agility) loot sack; added Agility + Thieving.,,
24949,Moonclan teleport,Misc,Teleports,yes,high,RULE: magic teleport tablets -> Teleports (8 tablets this batch moved from Misc).,,
24963,Ice plateau teleport,Misc,Teleports,yes,high,Magic teleport tablet -> Teleports.,,
25066,Infernal axe (or),"Cosmetics,Melee,Woodcutting + Firemaking","Cosmetics,Woodcutting + Firemaking",yes,medium,"RULE: dragon/infernal skilling TOOLS = skill tab + Cosmetics, no Melee (matches pickaxe/harpoon).",,
25102,Fairy mushroom,"Farming,Misc",Cosmetics,yes,medium,Leagues relic shield-slot novelty -> Cosmetics; dropped Farming/Misc.,,
25104,Crystal of echoes,Misc,Misc,no,medium,"FLAG: Grid Master event relic, possibly a teleport; kept Misc pending clarification.",,
25159,Castlewars brew(4),"Melee,Misc","Mage,Melee,Range",yes,medium,"RULE: all-styles combat boost potions -> Mage,Melee,Range; dropped Misc. (Castlewars brew + Potion of power.)",,
25203,Potion of power(4),"Melee,Misc","Mage,Melee,Range",yes,medium,"Soul Wars all-styles boost -> Mage,Melee,Range.",,
25280,Essence pack,"Runecraft,Slayer",Runecraft,yes,medium,Pure essence pack -> Runecraft; dropped Slayer (no link).,,
25340,Ectoplasmator,"Prayer,Slayer",Prayer,yes,medium,Prayer-XP device (spectral remains); dropped Slayer.,,
25373,Dragon harpoon (or),"Cosmetics,Fishing,Melee","Cosmetics,Fishing",yes,medium,Skilling tool; dropped Melee.,,
25395,Swampbark boots,Mage,"Mage,Runecraft",yes,medium,Added Runecraft for consistency with the rest of the swampbark set (Nature Altar craft).,,
25459,Bronze coffin,"Misc,Prayer","Misc,Prayer",no,medium,"FLAG: Shades of Mort'ton coffin family kept Misc,Prayer; could be Prayer + Woodcutting + Firemaking (pyre activity).",Yes,Keep as is
25478,Runescroll of swampbark,"Mage,Misc","Mage,Runecraft",yes,medium,"Unlocks Runecraft recipe (Nature Altar); dropped Misc, added Runecraft.",Reluctant yes,
25481,Runescroll of bloodbark,"Crafting,Mage","Mage,Runecraft",yes,medium,Unlocks Runecraft recipe (Blood Altar); corrected Crafting -> Runecraft.,Reluctant yes,
25521,Jar of spirits,"Construction,Cosmetics","Construction,Cosmetics",no,medium,"FLAG: jar family inconsistent (Misc vs Cosmetics vs Construction,Cosmetics). Needs unifying rule.",New Rule,"Seems like these are just construction, you can add them to your house after beating the boss. Construction only"
25602,Tiny tempor,Cosmetics,"Cosmetics,Fishing",yes,medium,RULE: skilling-boss pet keeps its skill tab. Tempoross = Fishing.,,
25608,Gregg's iou,Quests,Cosmetics,yes,medium,RULE: holiday/event items -> Cosmetics. Dropped Quests.,,
25644,Imcando hammer,"Construction,Mining + Smithing,Misc","Construction,Crafting,Mining + Smithing",yes,medium,"Hammer used for Smithing/Crafting/Construction; added Crafting, dropped Misc.",,
25746,Sanguine dust,"Cosmetics,Slayer",Cosmetics,yes,medium,ToB pet-metamorph item; dropped Slayer.,,
25781,Ash sanctifier,"Prayer,Slayer",Prayer,yes,medium,Auto-scatter Prayer device; dropped Slayer (matches ectoplasmator).,No,"Bonecrusher, Ectoplasmator, and Ash Sanctifier are great slayer tools, many people use them as such, add this back in"
25837,Slepey tablet,Misc,Teleports,yes,medium,Adds Slepe teleport to Drakan's medallion -> Teleports (or could stay Misc as an unlock).,,
25859,Enhanced crystal weapon seed,"Crafting,Melee,Misc","Crafting,Melee,Range",yes,medium,"Sung into Blade of Saeldor (Melee) or Bow of Faerdhinen (Range); dropped Misc, added Range.",,
25898,Tztok slayer helmet,"Cosmetics,Slayer","Cosmetics,Slayer",no,medium,FLAG: cosmetic slayer-helm family has inconsistent Melee tagging; defer to Slayer-tab rework.,Yes,"After thinking about it, keep all slayer helms and (I) versions in the slayer tab for the time being."
25991,Sigil of resilience,Misc,Misc,no,medium,FLAG: whole Deadman Mode sigil family (~75 items) tagged by effect/Misc. Confirm if these belong in skill tabs at all vs all-Misc.,Yes,Keep it misc
26151,Combat potion(3),"Herblore,Melee",Melee,yes,medium,Deadman starter-pack potion (not Herblore-made); dropped Herblore to match the 4-dose.,,
26221,Ancient ceremonial top,"Cosmetics,Prayer,Slayer","Cosmetics,Prayer",yes,medium,Nex/Ancient Prison is not slayer; dropped Slayer (whole 5-piece ceremonial set).,,
26231,Nihil shard,"Herblore,Range,Slayer",Range,yes,medium,Charges the Zaryte bow (Ranged); dropped Herblore/Slayer.,,
26247,Pumpkin pie,Misc,Cosmetics,yes,medium,Halloween event item -> Cosmetics.,,
26358,Frozen key piece (armadyl),"Quests,Slayer",Quests,yes,medium,GWD generals are not slayer; dropped Slayer (all 4 key pieces).,,
26370,Ancient hilt,"Melee,Slayer",Melee,yes,medium,"Nex drop, makes ancient godsword (Melee); dropped Slayer.",,
