id,name,old_tabs,new_tabs,changed,confidence,rationale,approved,comments
8016,Enchant sapphire or opal,"Mage,Misc",Mage,yes,medium,"Magic enchant tablet -> Mage, dropped Misc (matches bones-to-X tablet treatment).",Yes,
8419,Bagged nice tree,Construction,"Construction,Farming",yes,high,POH-garden decoration giving BOTH Construction and Farming XP when planted; added Farming.,NO,"This is a construction inout, not a farming input, ewven though it gives farming XP"
8463,Construction guide,Construction,Misc,yes,medium,"Readable how-to guide book in a POH bookcase, not a skill input -> Misc.",Yes,
8468,Rune heraldic helm,"Construction,Cosmetics,Melee","Cosmetics,Melee",yes,medium,Decorative rune full helm (melee defence head-slot). Dropped stray Construction; normalized the family to Cosmetics+Melee.,Yer,
8520,Asgarnian ale,Construction,Construction,no,high,POH kitchen barrel furniture FLATPACK (not the drinkable ale) -> Construction.,Yes,
8628,Crystal of power,"Construction,Misc",Construction,yes,high,POH study globe-space furniture flatpack -> Construction; dropped Misc.,Yes,
8650,Banner,"Construction,Crafting",Cosmetics,yes,medium,"Decorative held flag (weapon slot, NO combat stats) -> Cosmetics only. Dropped Construction/Crafting.",Yes,
8682,Steel heraldic helm,"Construction,Cosmetics,Melee","Cosmetics,Melee",yes,medium,Decorative steel full helm -> Cosmetics+Melee; dropped Construction.,Yes,
8720,Rune kiteshield,"Construction,Melee","Cosmetics,Melee",yes,medium,"Decorative rune kiteshield (shield-slot melee armour) -> Cosmetics+Melee; dropped Construction, added Cosmetics.",Yes,
8752,Steel kiteshield,"Construction,Crafting,Melee","Cosmetics,Melee",yes,medium,"Decorative steel kiteshield -> Cosmetics+Melee; dropped Construction/Crafting, added Cosmetics.",Yes,
8788,Magic stone,"Construction,Sailing","Construction,Sailing",no,high,High-level building material for Construction (POH) AND Sailing (boats/bank chests).,Yes,
8790,Bolt of cloth,Construction,"Construction,Crafting",yes,medium,Construction material (beds/curtains) AND a Crafting input for POH banners; added Crafting.,Yes,
8792,Clockwork,"Construction,Crafting",Crafting,yes,medium,Made at a crafting table and consumed by Crafting to build clockwork toys; dropped Construction.,Yes,
8837,Timber beam,"Construction,Quests",Quests,yes,medium,Shades of Mort'ton quest/minigame building consumable with no other use -> Quests.,Yes,
8839,Void knight top,"Melee,Misc","Melee,Range,Mage",yes,medium,Void body armour worn for all three combat styles (full void set) -> Melee+Range+Mage.,Yes,
8841,Void knight mace,"Mage,Prayer","Melee,Mage,Prayer",yes,medium,Crush mace that autocasts spells and has a prayer bonus -> Melee+Mage+Prayer (added Melee).,Yes,
8851,Warrior guild token,"Melee,Misc",Misc,yes,medium,"Warriors' Guild minigame entry token, not combat gear -> Misc; dropped Melee.",Yes,
8856,Defensive shield,Melee,Misc,yes,medium,Warriors' Guild catapult-activity shield usable only on the activity square -> Misc.,Yes,
8866,Steel key,"Agility + Thieving,Misc",Misc,yes,medium,"HAM store-room access key (looted, opens a chest), not a skill input -> Misc. Normalized HAM key family.",Yes,
8890,Coins,"Mage,Misc",Mage,yes,medium,Mage Training Arena alchemist-room coins (made via alchemy spells) -> Mage.,Yes,
8934,Scrapey tree logs,"Misc,Woodcutting + Firemaking",Fletching,yes,medium,Knifed for 50 Fletching XP to yield scrapey bark in Trouble Brewing -> Fletching.,Yes,
8940,Rum,Misc,Teleports,yes,medium,Single-use teleport item back to Trouble Brewing -> Teleports.,Yes,
