id,name,old_tabs,new_tabs,changed,rationale,confidence
24003,"Elven boots","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24006,"Elven gloves","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24009,"Elven top","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24012,"Elven skirt","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24015,"Elven top","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24018,"Elven skirt","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24021,"Elven top","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24024,"Elven legwear","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24027,"Elven top","Cosmetics","Cosmetics",no,"Elven outfit cosmetic.",high
24030,"Memoriam crystal (1)","Quests","Quests",no,"SOTE memory quest item.",high
24031,"Memoriam crystal (2)","Quests","Quests",no,"SOTE memory quest item.",high
24032,"Memoriam crystal (3)","Quests","Quests",no,"SOTE memory quest item.",high
24033,"Memoriam crystal (4)","Quests","Quests",no,"SOTE memory quest item.",high
24034,"Dragonstone full helm","Cosmetics,Melee","Cosmetics,Melee",no,"Decorative rune-tier melee helm -> Cosmetics + Melee.",high
24037,"Dragonstone platebody","Cosmetics,Melee","Cosmetics,Melee",no,"Decorative rune-tier melee armour -> Cosmetics + Melee.",high
24040,"Dragonstone platelegs","Cosmetics,Melee","Cosmetics,Melee",no,"Decorative rune-tier melee armour -> Cosmetics + Melee.",high
24043,"Dragonstone boots","Cosmetics,Melee","Cosmetics,Melee",no,"Decorative rune-tier melee boots -> Cosmetics + Melee.",high
24046,"Dragonstone gauntlets","Cosmetics,Melee","Cosmetics,Melee",no,"Decorative rune-tier melee gauntlets -> Cosmetics + Melee.",high
24049,"Crazed scribbles","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24051,"A dear friend","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24053,"On leprechauns","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24055,"Bloody diary","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24057,"The eight clans","Misc","Misc",no,"Prifddinas library hymn -> Misc.",high
24059,"Gollwyn's final statement","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24061,"Niff & harry","Misc","Misc",no,"Prifddinas library poem -> Misc.",high
24063,"Soggy journal","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24065,"Ebrill's journal","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24067,"Stained journal","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24069,"The truth behind the myth (excerpt)","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24071,"The living statues","Misc","Misc",no,"Prifddinas library lore book -> Misc.",high
24073,"The spurned demon","Quests","Misc",yes,"Prifddinas library lore book -> Misc; drop Quests.",high
24075,"Legends of the mountain","Quests","Misc",yes,"Prifddinas library lore book -> Misc; drop Quests.",high
24130,"Combat path starter kit","Misc","Misc",no,"Adventure Paths combat crate -> Misc.",high
24131,"Combat path voucher","Misc","Misc",no,"Adventure Paths reward voucher -> Misc.",high
24144,"Staff of balance","Mage","Mage,Melee",yes,"Bladed staff (real melee + magic) -> Mage + Melee (matches staff of light/dead).",medium
24187,"Trouver parchment","Misc","Misc",no,"Item-protection consumable scroll -> Misc.",high
24189,"Deadman's chest","Cosmetics","Cosmetics",no,"LMS-shop cosmetic platebody -> Cosmetics.",high
24190,"Deadman's legs","Cosmetics,Misc","Cosmetics",yes,"LMS-shop cosmetic leggings -> Cosmetics; drop Misc.",high
24191,"Deadman's cape","Cosmetics","Cosmetics",no,"LMS-shop cosmetic cape -> Cosmetics.",high
24192,"Armadyl halo","Misc,Prayer","Prayer",yes,"Prayer-bonus halo -> Prayer; drop Misc. (halo family flagged)",medium
24195,"Bandos halo","Melee,Misc,Prayer","Prayer",yes,"Prayer-bonus halo -> Prayer; drop Melee/Misc.",medium
24198,"Seren halo","Melee,Misc,Prayer","Prayer",yes,"Prayer-bonus halo -> Prayer; drop Melee/Misc.",medium
24201,"Ancient halo","Melee,Misc,Prayer","Prayer",yes,"Prayer-bonus halo -> Prayer; drop Melee/Misc.",medium
24204,"Brassica halo","Misc,Prayer","Prayer",yes,"Prayer-bonus halo -> Prayer; drop Misc.",medium
24207,"Victor's cape (1)","Cosmetics","Cosmetics",no,"LMS victory cosmetic cape -> Cosmetics.",high
24209,"Victor's cape (10)","Cosmetics","Cosmetics",no,"LMS victory cosmetic cape -> Cosmetics.",high
24211,"Victor's cape (50)","Cosmetics","Cosmetics",no,"LMS victory cosmetic cape -> Cosmetics.",high
24213,"Victor's cape (100)","Cosmetics","Cosmetics",no,"LMS victory cosmetic cape -> Cosmetics.",high
24215,"Victor's cape (500)","Cosmetics","Cosmetics",no,"LMS victory cosmetic cape -> Cosmetics.",high
24217,"Guthixian icon","Mage,Misc","Mage",yes,"Component for staff of balance (magic weapon) -> Mage; drop Misc.",medium
24219,"Swift blade","Melee,Misc","Melee",yes,"LMS-shop melee weapon -> Melee; drop Misc.",high
24225,"Granite maul","Cosmetics,Melee","Cosmetics,Melee",no,"Ornate granite maul -> Cosmetics + Melee.",high
24229,"Ornate maul handle","Melee,Misc","Melee",yes,"Granite maul upgrade component -> Melee; drop Misc.",high
24251,"Wilderness crabs teleport","Misc","Teleports",yes,"Magic teleport tablet -> Teleports; drop Misc.",high
24253,"Clue scroll (elite)","Misc","Misc",no,"Treasure Trail clue -> Misc.",high
24254,"Fang","Quests","Quests",no,"Fremennik Exiles quest item.",high
24255,"Venom gland","Quests","Quests",no,"Fremennik Exiles quest item.",high
24256,"Unsealed letter","Quests","Quests",no,"Fremennik Exiles quest item.",high
24258,"V sigil","Quests,Slayer","Quests",yes,"Fremennik Exiles quest-internal component -> Quests; drop Slayer.",medium
24259,"V sigil (e)","Quests,Slayer","Quests",yes,"Fremennik Exiles quest-internal component -> Quests; drop Slayer.",medium
24260,"Molten glass (i)","Quests,Slayer","Quests",yes,"Fremennik Exiles quest-internal component -> Quests; drop Slayer.",medium
24261,"Lunar glass","Quests,Slayer","Quests",yes,"Fremennik Exiles quest-internal component -> Quests; drop Slayer.",medium
24262,"Polishing rock","Quests,Slayer","Quests",yes,"Fremennik Exiles quest-internal item -> Quests; drop Slayer.",medium
24263,"Ballad of the basilisk","Misc","Misc",no,"Fremennik song scroll -> Misc.",high
24266,"V's shield","Melee,Quests,Slayer","Melee,Slayer",yes,"Melee shield, 60 Slayer to wield (slayer-locked) -> Melee + Slayer; drop Quests.",medium
24268,"Basilisk jaw","Melee,Slayer","Slayer",yes,"Slayer-monster drop component (Neitiznot faceguard) -> Slayer; drop Melee.",medium
24271,"Neitiznot faceguard","Melee,Slayer","Melee",yes,"Upgraded melee helm (not slayer-locked) -> Melee; drop spurious Slayer.",high
24277,"Mysterious emblem (tier 1)","Misc","Misc",no,"Bounty Hunter emblem currency -> Misc.",high
24287,"Decorative emblem","Construction,Misc","Construction",yes,"POH Achievement Gallery build item -> Construction; drop Misc.",high
24288,"Dagon'hai hat","Mage","Mage",no,"Dagon'hai magic armour.",high
24291,"Dagon'hai robe top","Mage","Mage",no,"Dagon'hai magic armour.",high
24294,"Dagon'hai robe bottom","Mage","Mage",no,"Dagon'hai magic armour.",high
24297,"White bed sheets","Cosmetics","Cosmetics",no,"2019 Halloween event item -> Cosmetics.",high
24298,"Smoke powder","Cosmetics","Cosmetics",no,"2019 Halloween event item -> Cosmetics.",medium
24299,"Shiny glass","Misc","Misc",no,"2019 Halloween event fetch item -> Misc.",medium
24305,"Spooky hood","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
24307,"Spooky robe","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
24309,"Spooky skirt","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
24311,"Spooky gloves","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
24313,"Spooky boots","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
24315,"Spookier hood","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
24317,"Spookier robe","Cosmetics","Cosmetics",no,"Halloween cosmetic outfit -> Cosmetics.",high
